iter	Passed	Remaining
0	0	448
1	0	356
2	0	327
3	1	306
4	1	306
5	1	297
6	2	288
7	2	294
8	2	287
9	2	281
10	3	278
11	3	277
12	3	279
13	3	275
14	4	274
15	4	272
16	4	269
17	4	267
18	5	265
19	5	262
20	5	262
21	5	261
22	6	260
23	6	259
24	6	259
25	6	258
26	7	256
27	7	255
28	7	254
29	7	255
30	8	255
31	8	254
32	8	252
33	8	251
34	9	251
35	9	250
36	9	251
37	9	250
38	10	251
39	10	251
40	10	251
41	10	250
42	11	251
43	11	250
44	11	249
45	12	249
46	12	248
47	12	247
48	12	246
49	12	245
50	13	245
51	13	244
52	13	243
53	13	243
54	14	242
55	14	241
56	14	240
57	14	240
58	15	239
59	15	240
60	15	239
61	15	240
62	16	240
63	16	240
64	16	239
65	16	239
66	17	238
67	17	238
68	17	238
69	17	237
70	18	237
71	18	237
72	18	237
73	19	237
74	19	238
75	19	237
76	19	237
77	20	237
78	20	236
79	20	236
80	20	235
81	20	235
82	21	233
83	21	232
84	21	232
85	21	232
86	22	232
87	22	231
88	22	231
89	22	230
90	23	230
91	23	230
92	23	229
93	23	228
94	23	228
95	24	228
96	24	227
97	24	227
98	24	227
99	25	226
100	25	225
101	25	225
102	25	225
103	26	224
104	26	224
105	26	224
106	26	223
107	27	223
108	27	223
109	27	223
110	27	223
111	28	223
112	28	222
113	28	222
114	28	222
115	29	222
116	29	221
117	29	221
118	29	220
119	30	220
120	30	220
121	30	220
122	30	219
123	31	219
124	31	218
125	31	218
126	31	217
127	31	217
128	32	217
129	32	216
130	32	216
131	32	216
132	33	215
133	33	215
134	33	214
135	33	214
136	34	214
137	34	214
138	34	213
139	34	213
140	34	213
141	35	211
142	35	211
143	35	211
144	35	210
145	35	210
146	36	210
147	36	209
148	36	209
149	36	209
150	37	208
151	37	208
152	37	207
153	37	207
154	38	207
155	38	207
156	38	207
157	38	206
158	39	206
159	39	206
160	40	209
161	40	208
162	40	208
163	40	208
164	41	207
165	41	207
166	41	207
167	41	207
168	42	207
169	42	207
170	42	206
171	42	206
172	43	206
173	43	206
174	43	206
175	44	206
176	44	206
177	44	205
178	44	205
179	45	205
180	45	204
181	45	204
182	45	204
183	46	204
184	46	203
185	46	203
186	46	203
187	46	202
188	47	202
189	47	202
190	47	201
191	47	201
192	48	201
193	48	201
194	48	200
195	48	200
196	49	200
197	49	199
198	49	199
199	49	199
200	50	199
201	50	199
202	50	198
203	50	198
204	51	198
205	51	197
206	51	197
207	51	197
208	52	197
209	52	197
210	52	196
211	52	196
212	53	196
213	53	195
214	53	195
215	53	195
216	54	195
217	54	195
218	54	195
219	54	194
220	55	194
221	55	194
222	55	194
223	56	194
224	56	193
225	56	193
226	56	193
227	56	192
228	57	192
229	57	192
230	57	192
231	57	191
232	58	191
233	58	191
234	58	191
235	58	190
236	59	190
237	59	190
238	59	190
239	59	189
240	60	189
241	60	189
242	60	188
243	60	188
244	61	188
245	61	188
246	61	188
247	61	187
248	62	187
249	62	187
250	62	187
251	62	186
252	63	186
253	63	186
254	63	185
255	63	185
256	64	185
257	64	185
258	64	184
259	64	184
260	65	184
261	65	184
262	65	183
263	65	183
264	66	183
265	66	183
266	66	182
267	66	182
268	67	182
269	67	181
270	67	181
271	67	181
272	68	181
273	68	181
274	68	180
275	68	180
276	69	180
277	69	180
278	69	179
279	69	179
280	70	179
281	70	178
282	70	178
283	70	178
284	70	177
285	71	177
286	71	177
287	71	177
288	71	176
289	72	176
290	72	176
291	72	176
292	72	175
293	73	175
294	73	175
295	73	175
296	73	175
297	74	174
298	74	174
299	74	174
300	74	173
301	75	173
302	75	173
303	75	173
304	75	173
305	76	172
306	76	172
307	76	172
308	76	171
309	77	171
310	77	171
311	77	171
312	77	170
313	78	170
314	78	170
315	78	169
316	78	169
317	79	169
318	79	169
319	79	168
320	79	168
321	79	168
322	80	168
323	80	167
324	80	167
325	80	167
326	81	167
327	81	166
328	81	166
329	81	166
330	82	166
331	82	165
332	82	165
333	82	165
334	83	165
335	83	164
336	83	164
337	83	164
338	84	163
339	84	163
340	84	163
341	84	163
342	85	162
343	85	162
344	85	162
345	85	161
346	86	161
347	86	161
348	86	161
349	86	161
350	86	160
351	87	160
352	87	160
353	87	159
354	87	159
355	88	159
356	88	159
357	88	158
358	88	158
359	89	158
360	89	158
361	89	157
362	89	157
363	90	157
364	90	157
365	90	156
366	90	156
367	91	156
368	91	156
369	91	155
370	91	155
371	91	155
372	92	154
373	92	154
374	92	154
375	92	154
376	93	153
377	93	153
378	93	153
379	93	153
380	94	152
381	94	152
382	94	152
383	94	152
384	95	151
385	95	151
386	95	151
387	95	150
388	96	150
389	96	150
390	96	150
391	96	150
392	96	149
393	97	149
394	97	149
395	97	149
396	97	148
397	98	148
398	98	148
399	98	148
400	98	147
401	99	147
402	99	147
403	99	146
404	99	146
405	100	146
406	100	146
407	100	146
408	100	145
409	101	145
410	101	145
411	101	145
412	101	144
413	102	144
414	102	144
415	102	144
416	102	143
417	103	143
418	103	143
419	103	142
420	103	142
421	103	142
422	104	142
423	104	141
424	104	141
425	104	141
426	105	141
427	105	140
428	105	140
429	105	140
430	106	140
431	106	139
432	106	139
433	106	139
434	107	139
435	107	138
436	107	138
437	107	138
438	108	138
439	108	137
440	108	137
441	108	137
442	109	137
443	109	136
444	109	136
445	109	136
446	110	136
447	110	135
448	110	135
449	110	135
450	111	135
451	111	134
452	111	134
453	111	134
454	111	134
455	112	133
456	112	133
457	112	133
458	112	133
459	113	132
460	113	132
461	113	132
462	113	131
463	114	131
464	114	131
465	114	131
466	114	130
467	114	130
468	115	130
469	115	130
470	115	129
471	115	129
472	116	129
473	116	129
474	116	128
475	116	128
476	116	128
477	117	127
478	117	127
479	117	127
480	117	127
481	118	127
482	118	126
483	118	126
484	118	126
485	119	125
486	119	125
487	119	125
488	119	125
489	120	124
490	120	124
491	120	124
492	120	124
493	121	124
494	121	123
495	121	123
496	121	123
497	122	123
498	122	122
499	122	122
500	122	122
501	122	121
502	123	121
503	123	121
504	123	121
505	123	121
506	124	120
507	124	120
508	124	120
509	124	120
510	125	119
511	125	119
512	125	119
513	125	119
514	126	118
515	126	118
516	126	118
517	126	117
518	126	117
519	127	117
520	127	117
521	127	116
522	127	116
523	128	116
524	128	116
525	128	115
526	128	115
527	129	115
528	129	115
529	129	114
530	129	114
531	129	114
532	130	114
533	130	113
534	130	113
535	130	113
536	131	113
537	131	112
538	131	112
539	131	112
540	132	112
541	132	111
542	132	111
543	132	111
544	133	111
545	133	110
546	133	110
547	133	110
548	133	110
549	134	109
550	134	109
551	134	109
552	134	109
553	135	108
